product_name,country,wine_type,short_description,rating,reviews,price_per_bottle,quantity,actual_price,after_discount_price,saving_amount
Domaine de Longuet Viognier 2023 ,France,Viognier,Beautiful French Viognier,,4 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Schroeder Estate Blanco 2021 ,Argentina,White blend,Top-Estate Argentine White,,29 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
RedHeads 1888 Cabernet Sauvignon 2022 ,Australia,Cabernet Sauvignon,Impressive Barossa Valley Cabernet,,21 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Château La Clarière Blanc 2022 ,France,Sauvignon-based blend,Classy White Bordeaux,,11 Reviews,$34.99 per bottle,12 bottles - $419.88,,,
Manga del Brujo 2021 ,Spain,Garnacha-based blend,94-Point Châteauneuf Rival,,210 Reviews,$26.99 per bottle,12 bottles - $323.88,,,
RedHeads Whip-Hand 2021 ,Australia,Cabernet Sauvignon,Impressive Barossa Cab,,,$49.99 per bottle,12 bottles - $599.88,,,
Altos de la Guardia Reserva Rioja 2019 ,Spain,Tempranillo,Refined Rioja Reserva,,128 Reviews,$32.99 per bottle,12 bottles - $395.88,,,
Crimson Farms Arabica Noir Trio  ,,,Coffee-Infused Dessert Wine—$15 Off Three Bottles,,,,3 bottles - $89.97,$89.97,$74.97,Save $15.00
"Fine Amarone in ""Happy Birthday"" Wood Box 2020 ",Italy,Red blend,Say “Happy Birthday” with an Iconic Amarone,,,$74.99 per bottle,12 bottles - $899.88,,,
NPR Wild Card Tannat 2024 ,United States,Tannat,Compelling California Tannat,,,$21.99 per bottle,12 bottles - $263.88,,,
¡H! Barcelona Hola Alcohol Free Sparkling NV ,Spain,Macabeo,Alcohol-Free Spanish Fizz,,,$21.99 per bottle,12 bottles - $263.88,,,
NPR Life Kit Pinot Grigio 2022 ,United States,Pinot Grigio,Rule-Breaking Pinot Grigio,,1 Review,$24.99 per bottle,12 bottles - $299.88,,,
NPR All Things Considered Cabernet Sauvignon 2022 ,United States,Cabernet-based blend,"Smooth, Washington State Cabernet",,2 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
NPR Short Wave Chardonnay 2022 ,United States,Chardonnay,Unoaked California Chardonnay,,,$22.99 per bottle,12 bottles - $275.88,,,
Lost Isle Chardonnay 2023 ,United States,Chardonnay,Acclaimed California Chardonnay,,1 Review,$22.99 per bottle,12 bottles - $275.88,,,
Il Poeta Barbaresco Gaia Principe 2020 ,Italy,Nebbiolo,92-Point Cru Barbaresco,,,$44.99 per bottle,12 bottles - $539.88,,,
Paul Sorvino Cabernet Sauvignon 2021 ,United States,Cabernet Sauvignon,Big-Name California Cabernet,,5 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Rifronzoli Rosso di Toscana IGT 2021 ,Italy,Sangiovese-based blend,Ultra-Rare Super Tuscan Masterpiece,,9 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Forrest Gump Pinot Gris 2022 ,United States,Pinot Gris,Vibrant Washington Pinot Gris,,4 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Val de Cabrera 2023 ,Spain,Garnacha-based blend,Value-Driven Spanish Red,,7 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Rookery Red Zinfandel 2024 ,United States,Zinfandel,Smooth California Zinfandel,,11 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Momtazi Family Estate Pinot Noir 2018 ,United States,Pinot Noir,Oregon’s Most Singular Pinot Noir,,,$59.99 per bottle,12 bottles - $719.88,,,
La Cuadrilla de Sobreño 2022 ,Spain,Tinta de Toro,Tantalizing Spanish Red,,21 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Selva del Moro Chianti Classico Riserva 2019 ,Italy,Sangiovese-based blend,Luxe Chianti Classico Riserva,,7 Reviews,$35.99 per bottle,12 bottles - $431.88,,,
Domaine de Longuet Viognier 2024 ,France,Viognier,Beautiful French Viognier,,4 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Black Saint Peter Old Vine Zinfandel (half bottle) 2020 ,United States,Zinfandel,Award-Winning Lodi Zinfandel,,608 Reviews,$12.99 per bottle,12 bottles - $155.88,,,
Armagia Etna Rosso 2019 ,Italy,Nerello Mascalese-based blend,Barrel-Aged Sicilian Specialty,,8 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Il Poeta Barolo del Comune di Barolo 2019 ,Italy,Nebbiolo,Exquisite Barolo “Cru”,,,$54.99 per bottle,12 bottles - $659.88,,,
Shroud Mountain Cabernet Sauvignon Magnum 2021 ,United States,Cabernet Sauvignon,Best-Selling California Cab—in MAGNUM,,511 Reviews,$49.99 per bottle,12 bottles - $599.88,,,
Capital Z Zinfandel 2024 ,United States,Zinfandel,Intense Lodi Zinfandel,,222 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Château de Colombe Castillon Côtes de Bordeaux 2022 ,France,Merlot-based blend,Gold-Medal Saint-Émilion Rival,,199 Reviews,$28.99 per bottle,12 bottles - $347.88,,,
Cuvée du Vatican Réserve de l'Abbé Blanc 2024 ,France,White blend,Expressive Rhône White,,,$19.99 per bottle,12 bottles - $239.88,,,
Luciani Brunello di Montalcino 2019 ,Italy,Sangiovese,Boutique Estate's Fine Brunello,,17 Reviews,$64.99 per bottle,12 bottles - $779.88,,,
Château Sixtine Châteauneuf-du-Pape 2023 ,France,Grenache-based blend,Opulent Châteauneuf Icon,,8 Reviews,$69.99 per bottle,12 bottles - $839.88,,,
Seven5Zero Kosher Cabernet Sauvignon 2021 ,Israel,Cabernet Sauvignon,Leading Israeli Estate’s Cabernet Sauvignon,,23 Reviews,$29.99 per bottle,12 bottles - $359.88,$359.88,$287.88,Save $72.00
Sentiero dei Pini Pinot Grigio 2024 ,Italy,Pinot Grigio,Ultra-Fresh Italian Pinot Grigio,,248 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Château Smith Haut Lafitte Pessac Léognan Grand Cru Classé Rouge 2018 ,France,Cabernet-based blend,99-Point Pessac-Léognan Grand Cru Classé,,,$169.99 per bottle,12 bottles - $2039.88,,,
Il Pino Pinot Grigio 2024 ,Italy,Pinot Grigio,Refreshing Italian Pinot Grigio,,297 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Domaine Daniel Reverdy Sancerre 2023 ,France,Sauvignon Blanc,Boutique Sancerre,,33 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Schroeder Estate Cabernet Sauvignon 2024 ,Argentina,Cabernet Sauvignon,Extremely Good Cab from the Extreme South,,395 Reviews,,12 bottles - $299.88,$299.88,$227.88,Save $72.00
Tenuta Albrizzi Cabernet Sauvignon Primitivo 2023 ,Italy,Red blend,Sumptuous ‘Super Puglian’,,291 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
"Inside Track Chardonnay 2024, Margaret River Trio  ",,,Exquisite Australian Chardonnay—Save 50%,,,,3 bottles - $209.97,$209.97,$104.97,Save $105.00
Beautiful Rose Prosecco Gift Trio  ,,,The Perfect Present for Prosecco Fans,,,,3 bottles - $70.97,$70.97,$59.99,Save $10.98
"Napa Cab Reserve in 'Congratulations"" Wood Box NV ",United States,Cabernet Sauvignon,This Napa Cab Calls for a Celebration,,,$74.99 per bottle,12 bottles - $899.88,,,
Domare Barbera 2023 ,Italy,Barbera,Silky Piedmont Red,,2 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Père Guillot Sablet 2022 ,France,Grenache-based blend,The Rhône’s Hidden Gem,,,$26.99 per bottle,12 bottles - $323.88,,,
Palumbo Falanghina 2023 ,Italy,Falanghina,Delightful New Falanghina,,,$15.99 per bottle,12 bottles - $191.88,,,
Bloom & Bounty Chardonnay 2023 ,United States,Chardonnay,Rich California Chardonnay,,4 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Lobo e Falcão Branco 2022 ,Portugal,Fernão Pires-based blend,"Acclaimed, Top-Estate Portuguese White",,9 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
East West Red Wine 2023 ,United States,Red blend,Acclaimed California Red,,17 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Les Pépites 2024 ,France,Malbec-based blend,Venerated French Malbec Blend,,9 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Bottle Poem Pinot Noir 2024 ,United States,Pinot Noir,Silky California Pinot Noir,,63 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Lustrato Prosecco  ,Italy,Glera,Celebration-Worthy Prosecco,,1 Review,$18.99 per bottle,12 bottles - $227.88,,,
Airplane Chardonnay 2020 ,United States,Chardonnay,High-Flying California Chardonnay,,5 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Hacienda del Arte Reserva Ribera del Duero 2016 ,Spain,Tempranillo,Rare Ribera Reserva,,,$32.99 per bottle,12 bottles - $395.88,,,
Guyendac 2023 ,France,Sauvignon Blanc,White Bergerac that Overdelivers,,44 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Cooper Point Merlot 2023 ,United States,Merlot,Plush California Merlot,,37 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Vigné-Lourac Gaillac Les Perlés 2023 ,France,White blend,Luxurious French White,,29 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
RedHeads Night Of The Living Red 2022 ,Australia,Durif-based blend,"Handcrafted, Top-Estate Australian Red",,7 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Asado Malbec 2024 ,Argentina,Malbec,BBQ-Ready Argentine Malbec,,137 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Leonardo Palumbo Thank You Deal  ,,,Rich Reds from an Italian Legend—Over 20% Off,,,,6 bottles - $107.94,$107.94,$83.94,Save $24.00
Cuvée Prestige Trio  ,,,Fine White from an Alsace Icon—25% Off,,,,3 bottles - $71.97,$71.97,$53.97,Save $18.00
Le Vieux Château Guibeau 2022 ,France,Merlot-based blend,Boutique Saint-Émilion,,,$34.99 per bottle,12 bottles - $419.88,,,
Domaine Bouché Cuvée Le Calme 2020 ,France,Chardonnay-based blend,Top Sparkling Cuvée from a Storied Producer,,,$34.99 per bottle,12 bottles - $419.88,,,
